matchId,homeOrAway,opponents,date,location,homeScore,awayScore
32403262,home,Uppsala Basket,Sun 21.Sep 18:00,S:t Erikshallen,58,51
32403267,away,Alvik Västerled,Sun 28.Sep 15:45,Thorildshallen,82,66
32403273,home,Hässelby HEAT,Sun 5.Oct 17:30,Thorildshallen,55,71
32403279,away,KFUM Central Basket,Sun 12.Oct 19:00,Gärdeshallen,88,42
32425895,away,Huddinge Monstock,Sat 18.Oct 16:30,Stuvstahallen,63,71
32403288,home,Kungsholmen NY,Sun 9.Nov 16:15,Thorildshallen,,
32423175,away,Vallentuna Eagles,Sun 30.Nov 17:15,Vallentune Gymnasium,,
32403308,away,KFUM Huddinge Basketklubb,Sun 7.Dec 17:15,Edbohallen,,
32403312,home,Odysseas Basketbollförening,Sun 14.Dec 16:00,Thorildshallen,,
32403326,home,Duga,Sun 11.Jan 18:00,S:t Erikshallen,,
32403329,away,Hephata,Sun 18.Jan 17:00,Tellusborgshallarna 2,,
32403340,home,Täby Bullcats,Sun 1.Feb 16:00,Thorildshallen,,
32403342,away,Nynäshamn Basketbollklubb,Sat 7.Feb 17:00,Viahallen,,
32403359,away,Duvbo Idrottsklubb,Sun 8.Mar 18:00,Löthallen,,
32403364,home,Norrtälje,Sun 15.Mar 18:00,S:t Erikshallen,,
32403367,away,JKS Basket Bredäng IF,Sat 21.Mar 15:00,Bredängshallen,,
32403370,home,Tyresö Basket,Sun 29.Mar 16:15,Thorildshallen,,
